Age,Handsome,Height,Body Fat%,Crazy on work,Attitude,Wage,Temper,Responsibility,Have a cat,Ma bao,Have a car,Have a house,Have a rich dad,Jai Jai,Label
24,4,181,31,0,1,40670,0,0,0,0,1,0,1,1,0
28,3,160,10,0,0,141014,2,0,0,0,0,1,1,0,0
27,3,180,10,1,1,94497,5,0,1,1,1,1,1,1,0
22,3,164,30,1,1,142667,2,1,0,0,1,1,0,1,1
27,5,166,10,1,1,33991,1,0,1,0,0,1,0,0,0
26,3,189,8,0,1,112651,1,0,1,0,1,0,1,1,0
30,4,164,24,0,1,62285,4,1,0,1,0,1,0,1,0
27,5,190,20,1,0,132188,1,0,0,0,1,0,0,0,0
23,3,166,14,1,0,41378,0,0,1,1,0,1,1,1,0
22,1,178,23,1,0,78618,4,1,1,1,0,0,0,1,0
23,3,185,15,0,0,58712,0,1,0,1,1,1,1,0,0
28,5,185,23,1,0,46761,3,0,1,1,0,1,1,0,0
23,1,163,12,1,1,146586,4,1,1,1,0,0,0,0,1
22,5,184,10,1,1,116394,0,0,0,0,1,1,0,0,0
27,2,164,12,1,1,138993,3,1,1,1,0,1,1,0,1
29,3,162,10,1,0,141767,5,0,0,0,0,0,1,1,1
27,3,177,14,0,1,80418,3,1,1,0,1,1,1,0,1
29,4,172,9,1,1,30243,3,1,1,1,1,1,0,0,0
29,0,168,17,1,1,103643,0,1,1,0,0,1,1,0,1
26,0,181,26,1,1,144681,0,0,0,0,0,1,1,0,1
28,0,171,32,1,0,134779,3,0,0,0,0,1,1,1,0
23,2,188,16,1,1,56145,0,1,0,1,1,0,0,0,0
26,1,170,30,1,0,124886,5,1,1,0,1,0,0,0,1
23,0,168,28,1,0,139524,1,1,0,1,0,1,1,0,0
26,2,188,28,1,1,38066,5,1,0,1,1,0,0,1,0
22,3,183,22,0,0,140401,2,0,0,0,1,1,0,0,0
29,4,172,34,1,0,54034,4,0,0,0,1,0,1,1,0
23,0,168,23,0,1,103741,0,1,1,0,0,0,1,1,1
30,0,190,22,1,0,74080,1,1,1,1,0,1,0,1,0
25,1,183,29,0,1,146757,4,0,0,1,0,0,0,0,1
25,1,181,8,1,0,127894,2,0,1,1,1,1,0,0,0
30,2,166,18,1,0,103600,2,0,1,0,0,0,1,1,0
30,1,167,9,1,1,55171,3,1,1,0,0,0,0,0,1
30,3,165,17,0,1,33885,5,0,1,1,0,0,0,1,0
23,1,179,15,1,1,49412,4,0,1,1,0,0,0,1,0
27,1,173,23,0,1,120714,3,0,0,0,1,0,1,1,1
23,3,170,12,1,0,117749,1,0,1,1,1,0,1,1,0
25,2,190,20,1,1,29066,2,1,0,0,1,1,0,0,0
24,2,175,16,1,0,50471,4,0,1,1,1,1,0,1,0
26,2,181,31,0,0,115525,4,1,0,0,0,0,1,0,1
30,5,179,18,1,1,46788,2,0,0,1,1,1,1,0,0
29,3,185,17,1,0,129687,3,0,1,0,1,1,1,0,0
30,0,170,8,0,0,142638,3,0,0,1,1,0,0,0,0
29,1,169,25,0,1,116895,0,0,0,1,0,0,1,0,0
23,0,172,20,1,1,28043,3,0,1,0,1,0,0,1,0
24,5,183,23,0,0,101554,4,1,0,0,0,1,0,1,1
29,3,186,28,0,0,142202,4,1,0,0,0,0,0,1,1
26,0,176,13,0,0,48294,3,0,1,1,1,0,1,1,0
25,2,183,16,1,0,131771,1,1,1,1,0,1,0,1,0
28,2,174,17,0,1,66687,3,1,1,0,1,1,0,1,1
24,3,174,22,1,0,46101,1,1,0,0,1,1,1,0,0
27,0,189,30,1,0,108054,3,0,0,0,0,0,0,1,0
25,0,179,11,0,1,135530,1,0,1,1,0,0,0,1,0
28,2,190,26,1,1,65198,4,0,1,1,0,0,0,0,0
30,4,179,22,0,0,120901,4,0,1,1,0,1,1,1,0
23,4,177,15,1,1,63402,5,0,0,0,0,0,1,1,1
25,1,169,31,1,0,132862,3,1,1,0,1,0,1,0,1
29,3,185,9,1,1,73445,0,1,1,0,0,0,0,1,1
24,0,160,8,0,1,53257,4,0,1,1,1,0,0,0,0
27,1,170,30,1,0,73728,4,1,0,1,1,1,1,1,0
25,3,165,28,0,1,64376,3,1,0,1,1,0,0,1,0
28,0,177,22,0,0,63240,0,1,1,0,0,0,1,1,0
23,4,182,29,1,0,85641,4,0,0,1,0,0,1,0,0
22,4,184,33,0,1,81891,1,0,0,1,0,1,0,0,0
25,4,162,24,1,1,102991,0,0,1,1,0,1,0,0,0
24,3,169,33,1,0,80558,0,1,1,1,0,0,0,1,0
22,2,164,26,0,0,132960,3,0,1,1,1,1,0,1,0
25,1,186,13,0,1,32999,1,0,0,1,0,1,0,0,0
24,4,182,11,1,0,38229,0,1,0,0,1,1,1,0,0
27,4,171,12,0,1,49382,0,1,1,0,0,1,0,1,0
27,0,185,33,0,0,113874,5,1,1,1,0,0,1,0,0
30,2,164,32,0,0,56845,0,1,1,0,1,1,1,1,0
26,4,170,29,1,0,91543,1,0,1,0,0,0,0,1,0
28,5,175,19,1,0,90942,1,0,1,1,1,0,1,1,0
22,3,164,22,0,0,27439,5,1,0,1,1,1,1,0,0
22,2,189,22,1,1,43590,0,0,1,0,1,1,1,0,0
25,3,170,13,0,0,141973,5,0,1,0,1,0,1,1,1
25,5,163,19,1,0,126574,0,0,0,0,1,1,0,0,0
22,1,184,9,1,0,137342,0,1,0,1,1,1,1,0,0
22,4,165,30,0,1,55621,0,1,1,1,0,1,0,0,0
22,3,179,32,0,0,105746,5,1,0,0,0,0,1,0,1
26,2,182,22,0,1,149110,4,0,0,1,1,0,1,0,1
25,4,179,22,0,0,79999,4,0,1,0,1,1,1,0,0
27,0,167,28,0,0,91795,3,1,0,0,1,0,0,1,0
26,5,169,29,1,1,122650,4,1,0,0,1,1,1,1,1
24,2,179,21,1,1,121570,0,1,1,1,1,1,1,0,0
26,5,185,29,1,1,128548,2,0,0,0,1,0,1,0,0
25,5,181,35,1,0,81259,4,0,1,0,0,1,1,1,0
23,5,190,19,0,1,86790,3,0,1,0,1,1,0,0,0
26,3,166,35,1,0,124501,3,0,0,0,0,1,1,0,0
22,2,163,16,0,0,149825,0,0,0,1,0,0,1,0,0
25,2,164,32,1,1,57011,2,1,1,0,1,1,0,0,0
26,3,173,9,0,1,124214,1,1,0,1,1,1,1,0,0
22,3,166,34,1,0,115382,3,1,0,1,1,0,0,1,0
22,1,169,30,1,0,118019,5,1,1,0,1,0,1,0,1
27,4,177,9,1,0,102194,4,0,0,1,0,1,1,1,0
30,5,187,17,0,0,52220,4,0,1,1,0,0,1,0,0
27,2,166,24,1,0,28142,5,1,0,0,0,1,1,0,0
27,1,183,29,0,0,123338,2,0,0,0,0,0,0,0,0
27,2,183,13,1,1,54328,2,1,1,0,0,1,1,0,0
22,5,181,14,1,1,131635,0,1,0,0,1,1,1,1,1
29,2,174,17,0,0,54455,4,1,0,1,0,1,1,1,0
23,3,188,33,1,0,50395,2,1,0,0,0,1,1,0,0
29,4,176,33,0,1,107613,5,0,1,0,0,1,0,1,1
26,0,164,14,1,1,56398,0,0,0,1,0,1,0,0,0
23,1,188,30,1,0,95309,5,1,0,1,1,0,1,0,0
25,1,183,14,0,1,97759,3,0,0,0,0,1,0,1,0
27,3,186,31,1,1,64314,3,1,1,0,0,0,1,1,1
24,1,178,15,1,1,64713,2,1,1,1,0,1,1,1,0
27,0,186,32,0,1,109806,0,0,0,1,0,1,0,1,0
22,1,185,13,1,1,146672,1,0,0,0,0,1,1,1,1
29,4,167,27,0,0,128451,5,0,1,1,1,1,1,1,0
26,0,166,12,0,0,44102,3,0,1,1,0,0,1,1,0
22,3,161,33,1,0,47645,4,1,0,1,0,0,0,1,0
29,5,176,15,0,0,124306,1,1,0,1,1,0,0,1,0
26,2,164,32,0,1,31537,5,0,0,1,1,1,1,0,0
24,5,180,9,0,1,97886,3,0,1,0,0,1,0,0,0
28,2,188,22,0,1,90517,2,0,0,1,1,0,0,1,0
29,3,174,32,1,0,25390,2,0,0,0,0,1,0,0,0
23,4,169,35,0,0,74668,4,0,0,1,1,1,0,1,0
28,3,179,26,1,1,29049,4,0,1,1,1,1,0,1,0
30,2,168,18,0,1,93649,5,0,1,0,1,1,0,1,1
28,5,169,27,1,1,149353,0,1,1,1,0,0,1,0,1
27,0,189,27,0,0,121037,5,1,1,0,1,1,1,0,1
24,5,170,25,1,0,73002,2,1,0,1,1,0,0,1,0
29,0,188,15,0,1,133744,1,0,1,0,0,1,0,0,1
24,2,182,23,0,0,78787,1,1,1,0,0,0,1,1,0
29,1,172,27,1,0,48069,5,1,1,0,0,1,0,1,0
25,2,177,20,1,0,57069,0,0,1,1,0,0,1,0,0
25,0,187,32,0,1,101058,5,1,0,1,0,0,0,0,1
25,5,178,9,0,1,106758,3,1,0,0,1,0,1,1,1
27,5,178,18,0,0,123362,0,0,0,0,0,1,0,1,0
29,4,187,20,0,0,85586,4,0,0,0,0,1,1,1,0
27,3,179,33,1,0,87182,3,0,1,0,1,1,0,1,0
25,3,186,35,1,1,57496,0,0,0,1,1,0,0,1,0
29,2,175,22,1,1,130454,3,1,0,1,1,0,0,1,1
27,4,171,20,0,1,88279,4,0,1,1,0,1,0,1,0
27,4,170,14,0,0,41164,1,1,0,1,0,1,1,0,0
28,0,164,32,1,1,27033,5,1,0,0,0,0,0,1,1
26,1,178,25,0,0,59761,1,1,0,1,1,0,0,0,0
23,5,186,16,1,0,35327,3,0,1,1,1,1,1,0,0
26,1,168,11,0,0,38025,1,0,1,1,0,0,1,0,0
22,3,165,28,1,1,74470,1,1,0,0,0,1,1,1,1
30,0,176,13,1,1,47269,2,0,0,0,1,1,1,0,0
25,5,187,31,1,0,101567,0,1,0,0,1,1,1,1,0
27,4,187,9,1,0,43479,0,1,0,0,0,0,1,1,0
24,0,171,18,1,1,117422,3,0,0,0,1,1,1,0,1
29,3,175,22,0,0,129337,4,0,0,1,1,1,1,0,0
28,2,168,24,1,1,100056,2,1,1,1,0,0,1,0,0
28,0,164,27,1,1,117859,3,1,1,0,1,1,1,1,1
24,5,175,22,0,1,64010,3,1,0,0,0,0,0,0,1
28,5,175,23,1,0,40770,4,1,1,0,0,1,0,0,0
25,5,173,19,0,0,47312,5,1,0,1,1,1,1,0,0
24,2,172,22,0,0,63830,1,0,1,0,1,0,0,1,0
23,3,180,33,0,1,44942,0,0,1,0,0,0,0,1,0
25,3,160,17,1,0,71787,5,1,0,1,1,1,1,1,0
29,0,165,33,1,0,96515,2,1,0,0,0,1,0,0,0
24,2,168,26,0,1,82662,5,0,1,0,0,0,1,0,1
26,0,178,23,0,1,140103,2,1,0,0,1,0,1,0,1
27,1,162,17,0,1,34780,0,1,1,0,0,0,1,0,0
25,5,163,14,1,0,34533,4,1,1,0,0,1,0,1,0
27,0,179,26,1,1,136847,4,0,0,0,0,0,1,1,1
22,5,162,9,0,0,40031,2,1,0,1,1,1,0,0,0
23,5,165,17,1,1,144538,4,1,1,1,1,0,0,1,1
24,1,185,27,0,0,116597,5,0,1,0,1,1,1,1,0
27,3,180,9,0,1,98621,2,1,0,1,1,0,1,1,0
25,1,180,14,0,1,148622,2,1,0,0,1,1,0,0,1
29,2,174,26,0,0,118921,4,0,1,0,1,1,1,1,0
28,3,166,21,0,1,83699,1,1,0,0,0,0,1,1,1
27,1,180,33,0,0,122090,1,0,0,1,1,1,0,1,0
30,2,171,32,0,1,80283,1,1,0,0,0,1,0,0,1
26,2,160,12,1,0,110209,3,1,1,1,0,1,1,0,0
28,0,190,14,1,0,123430,4,0,0,1,0,0,1,1,0
30,5,167,25,1,0,35628,3,1,0,0,0,0,1,0,0
23,4,188,24,1,1,31476,1,1,0,0,1,0,1,1,0
28,5,177,15,1,1,25844,0,0,0,1,0,1,1,0,0
28,0,168,17,1,0,51333,5,1,1,1,1,0,1,0,0
22,5,164,30,0,0,119091,1,0,1,0,1,1,0,0,0
23,2,187,35,0,0,144835,0,1,0,1,0,0,0,0,0
24,0,160,34,0,1,136738,5,0,0,1,1,0,0,1,1
27,4,174,25,1,0,28021,2,0,0,0,1,0,0,0,0
29,2,169,10,0,1,90046,1,0,1,0,0,1,1,0,0
26,5,188,28,0,1,125063,3,1,0,1,0,1,1,1,1
23,1,163,35,0,0,120968,0,1,0,1,0,0,1,1,0
29,0,177,9,0,1,101724,3,1,1,0,0,1,0,0,1
28,3,189,8,0,1,83584,2,1,0,1,1,0,1,1,0
27,5,172,9,1,1,37512,1,0,1,0,0,1,1,1,0
30,1,178,23,0,0,99000,0,0,1,1,0,0,1,1,0
22,1,173,16,0,1,85517,4,1,0,0,1,1,0,0,1
29,0,181,19,0,1,95287,1,0,1,1,1,0,0,0,0
30,2,178,31,1,1,148868,2,1,0,1,1,1,1,1,1
27,0,173,20,1,0,113495,5,1,0,0,1,0,0,1,1
28,1,169,18,1,0,106154,2,1,1,1,0,0,1,0,0
26,2,162,11,0,0,45471,2,0,0,0,0,1,0,1,0
25,5,182,30,1,0,57996,3,0,0,0,1,0,0,1,0
26,2,189,35,1,0,145445,5,1,0,1,1,1,1,1,1
23,2,179,11,1,0,41232,1,0,1,1,1,1,0,0,0
30,0,169,8,0,0,107169,4,1,1,1,1,0,1,0,0
28,2,181,20,1,1,64702,3,0,0,0,1,1,0,0,0
23,2,182,34,0,1,66435,3,1,0,1,0,0,1,1,0
24,5,189,12,0,0,42714,1,1,1,0,1,1,1,1,0
29,1,187,14,0,1,148976,3,0,1,1,0,0,0,0,0
24,5,189,17,0,0,52189,2,1,0,0,0,1,1,0,0
26,2,172,35,0,1,29054,4,0,1,1,1,1,1,1,0
25,5,182,25,1,0,128810,4,1,0,1,0,1,1,1,0
26,0,166,17,0,0,128648,0,1,0,0,0,1,0,1,0
22,4,167,26,1,1,100312,0,1,0,1,0,0,1,0,0
24,3,162,24,1,0,70900,0,0,0,1,1,0,1,1,0
30,2,169,17,1,0,123629,3,0,0,1,0,0,1,0,0
22,3,179,20,1,0,77170,1,1,0,1,0,1,1,1,0
29,2,168,13,0,1,132438,5,1,1,1,0,1,0,1,1
25,2,175,9,0,1,107042,4,1,1,0,0,0,1,0,1
28,4,188,10,0,0,91307,5,0,0,0,1,0,0,0,0
26,3,172,10,0,1,137617,1,1,0,1,0,0,1,1,1
26,5,181,30,1,1,43250,1,1,0,1,1,0,0,0,0
27,0,166,8,0,0,75216,0,0,1,0,1,0,1,1,0
23,4,180,13,1,0,127569,4,1,0,1,1,0,1,0,0
23,0,180,20,1,1,28856,4,1,0,0,1,0,1,1,1
27,5,173,31,0,1,113176,4,1,0,1,1,1,1,0,1
26,2,171,22,0,0,107645,5,1,1,1,0,1,0,0,0
30,5,186,9,0,1,112331,4,0,1,0,1,1,0,1,1
24,3,170,17,1,0,89847,3,0,0,1,1,0,0,0,0
24,2,178,28,0,1,36786,2,1,1,0,1,1,1,1,0
22,4,166,12,0,0,61107,3,0,1,1,1,0,1,0,0
26,3,162,10,0,0,47906,3,1,1,1,0,1,1,0,0
25,1,168,26,0,1,123894,2,1,0,1,1,0,1,1,0
28,4,160,22,1,1,125233,3,0,1,1,1,1,0,1,0
23,2,165,17,1,1,146487,2,1,0,1,1,0,1,1,1
25,4,165,19,1,1,96731,4,0,0,0,1,0,1,0,0
26,5,189,19,1,1,84906,5,1,0,1,0,1,0,1,1
26,5,168,21,1,0,66129,3,1,1,1,1,0,1,0,0
24,0,164,29,0,1,37857,5,1,1,0,0,0,0,1,1
29,3,189,24,1,1,147755,0,1,1,1,0,0,0,1,1
22,1,172,28,1,0,144999,2,1,0,1,0,0,0,1,0
30,5,174,26,0,0,37697,3,0,0,0,0,1,0,1,0
25,5,175,33,1,0,52379,2,0,1,1,1,1,0,0,0
23,2,174,13,0,0,66840,2,0,1,0,0,0,1,0,0
26,3,164,17,0,0,148932,4,1,1,1,1,1,1,1,0
27,1,177,20,0,1,38103,4,1,0,0,0,0,0,1,1
24,5,174,15,1,1,84632,0,0,0,0,1,1,1,1,0
29,1,185,9,1,1,119495,2,0,0,0,0,1,0,0,0
24,5,174,27,1,0,68606,0,1,0,1,1,1,0,0,0
27,2,182,29,0,0,80757,1,0,1,0,0,1,0,0,0
23,1,161,18,0,1,144800,3,0,0,0,0,0,0,1,1
27,4,173,24,1,0,74673,3,0,1,1,0,1,1,1,0
29,0,165,10,0,1,148389,2,0,1,1,0,0,0,0,0
29,1,164,17,0,0,110456,4,1,0,1,1,1,0,1,0
28,3,160,9,0,1,49786,5,0,0,1,1,0,0,1,0
30,3,185,17,0,0,138927,2,1,0,1,1,0,1,0,0
25,2,187,28,1,0,100940,4,0,1,0,0,1,0,1,0
28,0,174,33,1,0,143084,5,0,1,0,1,1,0,1,1
28,2,164,32,0,0,113651,2,0,1,0,0,0,0,0,0
27,3,161,20,0,0,39611,1,0,1,1,1,1,0,1,0
25,3,178,23,0,0,62024,1,1,1,0,1,0,1,0,0
29,1,181,34,0,1,144514,5,1,1,0,1,1,1,0,1
28,5,166,16,0,0,104831,0,1,0,1,0,0,0,1,0
24,2,164,20,0,1,94397,0,0,1,1,1,0,1,1,0
29,4,164,25,1,0,91858,2,1,0,0,0,0,1,1,0
28,1,178,10,0,1,93173,2,1,0,0,0,0,1,0,1
26,3,168,25,0,0,85709,0,0,1,1,0,0,0,1,0
28,5,176,16,0,0,140364,4,1,0,0,1,1,1,1,1
26,4,183,25,1,0,124914,0,0,0,0,1,0,1,0,0
22,1,182,16,0,0,28164,0,0,0,0,1,0,0,0,0
27,5,171,12,1,1,33017,5,1,1,0,0,0,1,0,1
28,2,178,11,1,0,56030,4,1,0,0,1,0,1,0,0
25,0,179,12,1,1,107362,1,0,1,0,1,1,1,1,0
25,3,173,33,0,0,28381,5,0,1,1,1,1,0,0,0
30,0,168,22,1,1,87044,2,0,0,0,1,1,0,0,0
30,4,189,33,1,1,70557,4,0,0,0,0,0,1,1,0
27,5,164,17,0,0,74394,3,0,1,0,1,1,1,1,0
23,0,166,21,1,1,82257,1,1,1,0,1,1,0,1,1
27,4,165,11,0,0,38065,4,1,1,1,1,1,0,1,0
29,4,187,26,1,1,79841,4,0,1,1,1,0,1,1,0
26,5,161,20,0,0,68029,4,1,0,1,1,1,1,1,0
27,2,167,34,0,0,82628,0,0,1,1,0,0,0,0,0
26,0,178,17,0,1,122006,5,1,1,0,0,1,0,0,1
24,5,181,33,1,0,100426,4,1,1,1,1,0,0,0,0
26,0,182,24,0,0,112047,2,1,1,0,1,1,1,0,0
27,0,180,31,0,1,115153,1,0,0,1,1,1,0,1,0
27,3,185,13,1,0,139428,4,1,1,0,0,0,0,0,1
23,5,185,19,0,0,38039,2,0,1,0,0,0,0,0,0
22,5,189,19,0,1,51865,4,0,1,0,1,0,1,1,0
23,0,190,18,0,0,40866,5,0,1,0,1,1,1,0,0
26,4,185,28,0,0,134840,5,0,1,1,1,0,0,1,0
26,1,172,19,0,1,76572,0,0,1,0,0,0,1,1,0
24,2,173,26,0,1,122721,4,1,1,1,1,0,0,1,1
22,5,168,26,1,0,82986,5,1,1,1,1,0,1,0,0
29,4,178,22,1,0,149814,0,0,0,0,0,0,0,1,0
27,1,172,18,1,0,145214,4,1,1,0,0,1,1,0,1
28,1,185,21,0,1,37573,0,0,1,1,1,0,1,0,0
24,0,178,30,1,0,141035,2,1,1,0,0,0,0,0,1
29,5,167,29,1,0,43565,0,1,1,1,0,0,1,1,0
29,2,170,16,1,1,61349,2,1,0,1,0,1,0,1,0
28,2,176,26,0,1,36011,0,0,1,0,1,0,1,1,0
28,2,178,32,1,1,49936,5,0,1,0,0,0,0,0,0
30,4,161,9,1,0,148224,5,0,1,1,0,0,0,0,0
22,0,165,21,1,1,27681,1,1,1,0,0,0,1,0,0
22,5,161,9,1,1,148656,1,0,1,1,0,1,1,1,0
27,5,165,22,1,1,137217,4,1,0,0,1,0,0,1,1
26,0,170,14,1,0,143087,2,1,0,1,1,1,1,1,0
29,0,184,8,0,0,73172,4,0,1,1,1,0,1,1,0
23,2,188,15,1,0,99999,0,1,1,0,1,1,1,0,0
24,0,175,31,1,1,38188,1,1,0,1,0,1,1,0,0
28,3,161,27,1,0,76650,5,1,0,0,1,0,0,1,0
25,5,166,8,0,0,118913,3,1,0,1,1,1,0,1,0
27,1,173,31,1,1,29692,2,1,0,0,1,1,1,0,0
28,5,173,26,1,0,40099,4,0,1,1,0,1,1,0,0
24,4,166,20,0,0,67240,4,0,1,0,1,0,1,1,0
24,5,165,17,0,0,65678,4,1,0,1,1,1,0,1,0
26,5,178,25,1,1,67265,2,0,1,0,0,0,1,0,0
22,3,169,35,0,0,107165,0,0,1,1,0,0,0,0,0
27,5,172,13,0,0,128843,1,1,1,0,0,0,1,0,0
29,1,168,16,1,0,76699,3,1,0,1,1,0,1,1,0
27,4,180,13,1,0,95723,0,1,1,1,1,1,1,1,0
25,5,164,17,1,0,116840,2,0,0,1,1,1,0,1,0
22,4,162,19,0,1,68443,4,0,0,0,0,1,1,1,0
23,3,189,33,1,0,124981,5,1,0,1,0,0,1,0,0
26,2,190,24,0,0,81034,5,1,1,0,1,1,0,0,0
30,5,162,34,1,1,93115,1,1,0,1,1,1,0,1,0
26,0,184,17,1,0,50345,4,1,1,1,0,1,1,0,0
24,1,166,23,0,1,143890,2,0,1,1,0,1,0,0,0
26,1,169,17,0,0,90255,3,1,1,1,0,1,0,0,0
26,3,180,19,0,1,36895,0,0,0,0,1,1,1,1,0
23,2,185,11,1,1,41242,5,1,0,0,1,1,1,0,1
26,0,162,10,1,1,28846,5,1,1,1,0,0,1,0,0
30,0,186,16,0,0,26068,0,1,0,1,0,1,0,0,0
26,1,179,30,0,0,78273,2,0,0,0,0,0,1,0,0
22,2,179,21,1,0,61915,0,1,1,0,1,0,1,1,0
28,5,175,21,0,0,138463,4,0,0,0,0,1,1,0,0
24,3,177,25,1,0,58993,0,0,0,1,1,1,1,0,0
23,3,176,19,0,1,63622,2,0,0,1,0,0,0,1,0
27,4,163,21,1,1,67152,0,0,0,1,1,1,1,0,0
23,5,164,29,0,0,32532,2,0,0,0,1,0,0,0,0
22,2,163,17,1,0,94497,4,1,0,0,0,0,0,1,0
29,3,163,9,0,0,26873,1,1,1,0,0,0,1,1,0
30,1,188,31,1,0,89902,2,0,1,0,1,0,0,0,0
30,2,176,10,0,1,88798,3,1,0,1,1,1,1,0,0
23,3,182,12,1,0,88023,1,0,0,1,1,0,0,1,0
29,3,162,30,0,0,69045,4,1,0,0,0,1,1,1,0
30,4,190,11,1,1,119769,4,1,0,0,1,0,0,1,1
29,4,171,16,0,1,116378,0,1,1,1,1,1,0,1,0
30,1,162,13,1,1,39566,5,0,0,1,1,0,0,0,0
23,2,176,11,1,1,107943,2,0,0,0,0,1,0,1,0
25,5,182,18,1,0,112640,0,1,1,0,1,1,0,0,0
26,0,190,8,0,0,116899,5,0,1,1,0,0,0,0,0
22,1,170,21,0,1,104866,3,0,0,0,0,0,0,1,1
27,5,175,22,1,0,86172,4,0,1,0,1,1,0,0,0
28,0,182,9,1,1,116825,3,1,1,0,0,0,0,1,1
24,1,177,17,1,0,122241,2,1,0,0,1,1,0,0,0
22,3,161,20,0,1,56169,2,1,0,0,1,0,1,1,0
30,1,160,31,0,1,128741,3,1,1,0,1,1,1,0,1
26,4,180,11,0,0,92697,2,0,0,1,0,0,1,0,0
28,5,180,8,0,1,110814,1,1,1,1,1,1,1,1,0
30,3,168,27,0,1,111660,2,1,0,0,0,0,1,1,1
22,1,172,27,1,1,102818,3,0,1,1,1,0,1,1,0
22,0,168,25,1,1,27403,5,1,1,1,1,1,1,1,0
25,1,176,19,0,0,131340,5,0,1,1,1,0,1,1,0
23,0,168,13,1,0,38644,2,1,1,1,0,0,1,1,0
30,2,183,16,1,0,129656,5,1,1,0,1,0,0,1,1
29,1,179,22,1,1,142513,2,0,1,0,1,0,0,1,1
27,1,167,25,0,0,60740,0,1,0,1,1,1,1,1,0
27,5,160,14,1,0,43028,0,0,1,0,0,1,1,0,0
29,1,166,24,0,1,79988,2,0,0,1,1,1,0,1,0
27,5,189,29,1,0,134089,1,1,0,0,1,0,1,0,1
27,2,161,10,0,0,98489,4,1,1,1,1,1,1,0,0
25,2,173,27,1,1,70164,2,1,0,0,0,1,0,0,1
27,3,178,13,1,0,78020,4,0,1,1,0,1,0,1,0
