antecedent,consequent,support,confidence,lift
{95398},{51657},0.026,0.963,37.038
{51657},{24746},0.026,0.944,37.34
{24746},{51657},0.025,0.971,37.34
{92490},{88631},0.026,0.915,36.909
{88631},{92490},0.025,0.951,36.909
{95398},{88631},0.026,0.908,36.633
{88631},{95398},0.025,0.971,36.633
{24746},{88631},0.025,0.933,37.619
{88631},{24746},0.025,0.951,37.619
{92490},{95398},0.026,0.972,36.675
{95398},{92490},0.026,0.945,36.675
{24746},{92490},0.025,0.952,36.945
{92490},{24746},0.026,0.934,36.945
{24746},{95398},0.025,0.981,37.017
{95398},{24746},0.026,0.936,37.017
{61432},{7686},0.025,0.912,34.731
{7686},{61432},0.026,0.861,34.731
{25161},{7686},0.024,0.89,33.902
{7686},{25161},0.026,0.824,33.902
{61432},{25161},0.025,0.814,33.477
{25161},{61432},0.024,0.83,33.477
{82125},{24037},0.032,0.672,30.369
{24037},{82125},0.022,0.967,30.369
{98490},{24037},0.025,0.864,39.064
{24037},{98490},0.022,0.978,39.064
{98490},{82125},0.025,0.951,29.88
{82125},{98490},0.032,0.748,29.88
{44776},{14148 54782},0.023,0.865,40.884
{14148},{44776 54782},0.023,0.892,40.796
{54782},{44776 14148},0.023,0.883,41.279
{44776 14148},{54782},0.021,0.943,41.279
{44776 54782},{14148},0.022,0.922,40.796
{14148 54782},{44776},0.021,0.954,40.884
{74994},{64408 39749},0.026,0.86,33.688
{39749},{64408 74994},0.028,0.807,34.584
{64408 74994},{39749},0.023,0.958,34.584
{64408 39749},{74994},0.026,0.876,33.688
{74994 39749},{64408},0.024,0.939,17.555
{39749},{64408 7686},0.028,0.807,34.228
{7686},{64408 39749},0.026,0.852,33.376
{64408 39749},{7686},0.026,0.876,33.376
{64408 7686},{39749},0.024,0.948,34.228
{39749 7686},{64408},0.024,0.92,17.204
{61432},{64408 39749},0.025,0.882,34.571
{39749},{64408 61432},0.028,0.789,34.552
{64408 61432},{39749},0.023,0.957,34.552
{64408 39749},{61432},0.026,0.857,34.571
{61432 39749},{64408},0.024,0.928,17.351
{25161},{64408 39749},0.024,0.85,33.304
{39749},{64408 25161},0.028,0.746,34.857
{64408 25161},{39749},0.021,0.966,34.857
{64408 39749},{25161},0.026,0.81,33.304
{25161 39749},{64408},0.023,0.914,17.091
{74994},{39749 7686},0.026,0.85,34.988
{39749},{74994 7686},0.028,0.798,33.51
{7686},{74994 39749},0.026,0.843,35.372
{74994 39749},{7686},0.024,0.929,35.372
{74994 7686},{39749},0.024,0.929,33.51
{39749 7686},{74994},0.024,0.91,34.988
{61432},{74994 39749},0.025,0.833,34.983
{74994},{61432 39749},0.026,0.794,33.692
{39749},{61432 74994},0.028,0.746,34.466
{61432 74994},{39749},0.022,0.955,34.466
{61432 39749},{74994},0.024,0.876,33.692
{74994 39749},{61432},0.024,0.867,34.983
{61432},{39749 7686},0.025,0.863,35.493
{39749},{61432 7686},0.028,0.772,34.148
{7686},{61432 39749},0.026,0.815,34.558
{61432 39749},{7686},0.024,0.907,34.558
{61432 7686},{39749},0.023,0.946,34.148
{39749 7686},{61432},0.024,0.88,35.493
{25161},{39749 7686},0.024,0.84,34.558
{39749},{25161 7686},0.028,0.737,34.06
{7686},{25161 39749},0.026,0.778,34.406
{25161 39749},{7686},0.023,0.903,34.406
{25161 7686},{39749},0.022,0.944,34.06
{39749 7686},{25161},0.024,0.84,34.558
{74994},{64408 7686},0.026,0.832,35.278
{7686},{64408 74994},0.026,0.824,35.315
{64408 74994},{7686},0.023,0.927,35.315
{64408 7686},{74994},0.024,0.918,35.278
{74994 7686},{64408},0.024,0.908,16.983
{74994},{64408 61432},0.026,0.776,33.949
{61432},{64408 74994},0.025,0.814,34.872
{64408 74994},{61432},0.023,0.865,34.872
{64408 61432},{74994},0.023,0.883,33.949
{61432 74994},{64408},0.022,0.933,17.439
{61432},{64408 7686},0.025,0.833,35.344
{7686},{64408 61432},0.026,0.787,34.445
{64408 61432},{7686},0.023,0.904,34.445
{64408 7686},{61432},0.024,0.876,35.344
{61432 7686},{64408},0.023,0.914,17.091
{61432},{74994 7686},0.025,0.824,34.571
{74994},{61432 7686},0.026,0.785,34.728
{7686},{61432 74994},0.026,0.778,35.953
{61432 74994},{7686},0.022,0.944,35.953
{61432 7686},{74994},0.023,0.903,34.728
{74994 7686},{61432},0.024,0.857,34.571
{12305},{51657 7190},0.037,0.636,25.921
{51657},{12305 7190},0.026,0.916,36.941
{7190},{12305 51657},0.026,0.933,36.921
{12305 51657},{7190},0.025,0.942,36.921
{12305 7190},{51657},0.025,0.961,36.941
{51657 7190},{12305},0.025,0.97,25.921
{12305},{7190 88631},0.037,0.617,25.897
{7190},{12305 88631},0.026,0.905,37.598
{88631},{12305 7190},0.025,0.931,37.565
{12305 7190},{88631},0.025,0.931,37.565
{12305 88631},{7190},0.024,0.96,37.598
{7190 88631},{12305},0.024,0.969,25.897
{12305},{92490 7190},0.037,0.636,26.18
{92490},{12305 7190},0.026,0.925,37.289
{7190},{12305 92490},0.026,0.933,36.921
{12305 92490},{7190},0.025,0.942,36.921
{12305 7190},{92490},0.025,0.961,37.289
{92490 7190},{12305},0.024,0.98,26.18
{12305},{95398 7190},0.037,0.643,25.929
{95398},{12305 7190},0.026,0.908,36.633
{7190},{12305 95398},0.026,0.943,36.594
{12305 95398},{7190},0.026,0.934,36.594
{12305 7190},{95398},0.025,0.971,36.633
{95398 7190},{12305},0.025,0.971,25.929
{12305},{24746 7190},0.037,0.617,25.897
{24746},{12305 7190},0.025,0.913,36.843
{7190},{12305 24746},0.026,0.905,36.853
{12305 24746},{7190},0.025,0.941,36.853
{12305 7190},{24746},0.025,0.931,36.843
{24746 7190},{12305},0.024,0.969,25.897
{51657},{7190 88631},0.026,0.879,36.879
{7190},{51657 88631},0.026,0.895,37.582
{88631},{51657 7190},0.025,0.922,37.538
{51657 7190},{88631},0.025,0.931,37.538
{51657 88631},{7190},0.024,0.959,37.582
{7190 88631},{51657},0.024,0.959,36.879
{51657},{92490 7190},0.026,0.907,37.295
{92490},{51657 7190},0.026,0.915,37.274
{7190},{51657 92490},0.026,0.924,36.899
{51657 92490},{7190},0.025,0.942,36.899
{51657 7190},{92490},0.025,0.96,37.274
{92490 7190},{51657},0.024,0.97,37.295
{51657},{95398 7190},0.026,0.925,37.318
{95398},{51657 7190},0.026,0.908,36.996
{7190},{51657 95398},0.026,0.943,36.942
{51657 95398},{7190},0.026,0.943,36.942
{51657 7190},{95398},0.025,0.98,36.996
{95398 7190},{51657},0.025,0.971,37.318
{51657},{24746 7190},0.026,0.888,37.272
{24746},{51657 7190},0.025,0.913,37.208
{7190},{51657 24746},0.026,0.905,36.853
{51657 24746},{7190},0.025,0.941,36.853
{51657 7190},{24746},0.025,0.941,37.208
{24746 7190},{51657},0.024,0.969,37.272
{92490},{7190 88631},0.026,0.877,36.831
{7190},{92490 88631},0.026,0.886,37.565
{88631},{92490 7190},0.025,0.912,37.51
{92490 7190},{88631},0.024,0.93,37.51
{92490 88631},{7190},0.024,0.959,37.565
{7190 88631},{92490},0.024,0.949,36.831
{95398},{7190 88631},0.026,0.872,36.588
{7190},{95398 88631},0.026,0.905,37.598
{88631},{95398 7190},0.025,0.931,37.565
{95398 7190},{88631},0.025,0.931,37.565
{95398 88631},{7190},0.024,0.96,37.598
{7190 88631},{95398},0.024,0.969,36.588
{24746},{7190 88631},0.025,0.894,37.539
{7190},{24746 88631},0.026,0.886,37.565
{88631},{24746 7190},0.025,0.912,38.276
{24746 7190},{88631},0.024,0.949,38.276
{24746 88631},{7190},0.024,0.959,37.565
{7190 88631},{24746},0.024,0.949,37.539
{92490},{95398 7190},0.026,0.915,36.909
{95398},{92490 7190},0.026,0.89,36.611
{7190},{92490 95398},0.026,0.924,36.899
{92490 95398},{7190},0.025,0.942,36.899
{92490 7190},{95398},0.024,0.97,36.611
{95398 7190},{92490},0.025,0.951,36.909
{24746},{92490 7190},0.025,0.894,36.789
{92490},{24746 7190},0.026,0.877,36.831
{7190},{24746 92490},0.026,0.886,36.806
{24746 92490},{7190},0.024,0.939,36.806
{24746 7190},{92490},0.024,0.949,36.831
{92490 7190},{24746},0.024,0.93,36.789
{24746},{95398 7190},0.025,0.923,37.231
{95398},{24746 7190},0.026,0.881,36.973
{7190},{24746 95398},0.026,0.914,36.876
{24746 95398},{7190},0.025,0.941,36.876
{24746 7190},{95398},0.024,0.98,36.973
{95398 7190},{24746},0.025,0.941,37.231
{12305},{51657 88631},0.037,0.617,25.897
{51657},{12305 88631},0.026,0.888,36.895
{88631},{12305 51657},0.025,0.931,36.843
{12305 51657},{88631},0.025,0.913,36.843
{12305 88631},{51657},0.024,0.96,36.895
{51657 88631},{12305},0.024,0.969,25.897
{12305},{51657 92490},0.037,0.656,26.196
{92490},{12305 51657},0.026,0.953,37.692
{51657},{12305 92490},0.026,0.944,37.34
{12305 92490},{51657},0.025,0.971,37.34
{12305 51657},{92490},0.025,0.971,37.692
{51657 92490},{12305},0.025,0.981,26.196
{12305},{51657 95398},0.037,0.662,25.951
{51657},{12305 95398},0.026,0.953,36.998
{95398},{12305 51657},0.026,0.936,37.017
{12305 51657},{95398},0.025,0.981,37.017
{12305 95398},{51657},0.026,0.962,36.998
{51657 95398},{12305},0.026,0.971,25.951
{12305},{51657 24746},0.037,0.636,25.921
{24746},{12305 51657},0.025,0.942,37.276
{51657},{12305 24746},0.026,0.916,37.307
{12305 24746},{51657},0.025,0.97,37.307
{12305 51657},{24746},0.025,0.942,37.276
{51657 24746},{12305},0.025,0.97,25.921
{12305},{92490 88631},0.037,0.617,26.163
{92490},{12305 88631},0.026,0.896,37.243
{88631},{12305 92490},0.025,0.931,36.843
{12305 92490},{88631},0.025,0.913,36.843
{12305 88631},{92490},0.024,0.96,37.243
{92490 88631},{12305},0.024,0.979,26.163
{12305},{95398 88631},0.037,0.623,25.905
{95398},{12305 88631},0.026,0.881,36.599
{88631},{12305 95398},0.025,0.941,36.528
{12305 95398},{88631},0.026,0.906,36.528
{12305 88631},{95398},0.024,0.97,36.599
{95398 88631},{12305},0.024,0.97,25.905
{12305},{24746 88631},0.037,0.61,25.888
{24746},{12305 88631},0.025,0.904,37.56
{88631},{12305 24746},0.025,0.922,37.538
{12305 24746},{88631},0.025,0.931,37.538
{12305 88631},{24746},0.024,0.949,37.56
{24746 88631},{12305},0.024,0.969,25.888
{12305},{92490 95398},0.037,0.656,26.196
{92490},{12305 95398},0.026,0.953,36.981
{95398},{12305 92490},0.026,0.927,36.654
{12305 92490},{95398},0.025,0.971,36.654
{12305 95398},{92490},0.026,0.953,36.981
{92490 95398},{12305},0.025,0.981,26.196
{24746},{12305 92490},0.025,0.933,36.895
{12305},{24746 92490},0.037,0.63,26.175
{92490},{12305 24746},0.026,0.915,37.274
{12305 24746},{92490},0.025,0.96,37.274
{24746 92490},{12305},0.024,0.98,26.175
{12305 92490},{24746},0.025,0.933,36.895
{12305},{24746 95398},0.037,0.643,25.929
{24746},{12305 95398},0.025,0.952,36.945
{95398},{12305 24746},0.026,0.908,36.996
{12305 24746},{95398},0.025,0.98,36.996
{12305 95398},{24746},0.026,0.934,36.945
{24746 95398},{12305},0.025,0.971,25.929
{51657},{92490 88631},0.026,0.879,37.259
{92490},{51657 88631},0.026,0.887,37.227
{88631},{51657 92490},0.025,0.922,36.809
{51657 92490},{88631},0.025,0.913,36.809
{51657 88631},{92490},0.024,0.959,37.227
{92490 88631},{51657},0.024,0.969,37.259
{51657},{95398 88631},0.026,0.897,37.283
{95398},{51657 88631},0.026,0.881,36.973
{88631},{51657 95398},0.025,0.941,36.876
{51657 95398},{88631},0.026,0.914,36.876
{51657 88631},{95398},0.024,0.98,36.973
{95398 88631},{51657},0.024,0.97,37.283
{51657},{24746 88631},0.026,0.879,37.259
{24746},{51657 88631},0.025,0.904,37.943
{88631},{51657 24746},0.025,0.922,37.538
{51657 24746},{88631},0.025,0.931,37.538
{51657 88631},{24746},0.024,0.959,37.943
{24746 88631},{51657},0.024,0.969,37.259
{51657},{92490 95398},0.026,0.944,37.702
{92490},{51657 95398},0.026,0.953,37.333
{95398},{51657 92490},0.026,0.927,37.01
{51657 92490},{95398},0.025,0.981,37.01
{51657 95398},{92490},0.026,0.962,37.333
{92490 95398},{51657},0.025,0.981,37.702
{24746},{51657 92490},0.025,0.933,37.253
{51657},{24746 92490},0.026,0.907,37.672
{92490},{51657 24746},0.026,0.915,37.274
{51657 24746},{92490},0.025,0.96,37.274
{24746 92490},{51657},0.024,0.98,37.672
{51657 92490},{24746},0.025,0.942,37.253
{51657},{24746 95398},0.026,0.925,37.318
{24746},{51657 95398},0.025,0.952,37.297
{95398},{51657 24746},0.026,0.908,36.996
{51657 24746},{95398},0.025,0.98,36.996
{51657 95398},{24746},0.026,0.943,37.297
{24746 95398},{51657},0.025,0.971,37.318
{92490},{95398 88631},0.026,0.887,36.851
{95398},{92490 88631},0.026,0.862,36.576
{88631},{92490 95398},0.025,0.922,36.809
{92490 95398},{88631},0.025,0.913,36.809
{92490 88631},{95398},0.024,0.969,36.576
{95398 88631},{92490},0.024,0.949,36.851
{24746},{92490 88631},0.025,0.885,37.519
{92490},{24746 88631},0.026,0.868,36.811
{88631},{24746 92490},0.025,0.902,37.481
{24746 92490},{88631},0.024,0.929,37.481
{24746 88631},{92490},0.024,0.948,36.811
{92490 88631},{24746},0.024,0.948,37.519
{24746},{95398 88631},0.025,0.913,37.959
{95398},{24746 88631},0.026,0.872,36.965
{88631},{24746 95398},0.025,0.931,37.565
{24746 95398},{88631},0.025,0.931,37.565
{24746 88631},{95398},0.024,0.979,36.965
{95398 88631},{24746},0.024,0.96,37.959
{24746},{92490 95398},0.025,0.933,37.253
{92490},{24746 95398},0.026,0.915,36.909
{95398},{24746 92490},0.026,0.89,36.981
{24746 92490},{95398},0.024,0.98,36.981
{24746 95398},{92490},0.025,0.951,36.909
{92490 95398},{24746},0.025,0.942,37.253
{82125},{98490 24037},0.032,0.656,30.346
{98490},{24037 82125},0.025,0.835,39.034
{24037},{98490 82125},0.022,0.945,39.673
{98490 82125},{24037},0.024,0.878,39.673
{24037 82125},{98490},0.021,0.977,39.034
{98490 24037},{82125},0.022,0.966,30.346
{74994},{64408 39749 7686},0.026,0.794,35.523
{39749},{64408 74994 7686},0.028,0.746,34.466
{7686},{64408 74994 39749},0.026,0.787,35.194
{74994 39749},{64408 7686},0.024,0.867,36.786
{74994 7686},{64408 39749},0.024,0.867,33.983
{64408 74994},{39749 7686},0.023,0.885,36.426
{39749 7686},{64408 74994},0.024,0.85,36.426
{64408 39749},{74994 7686},0.026,0.81,33.983
{64408 7686},{74994 39749},0.024,0.876,36.786
{74994 39749 7686},{64408},0.022,0.934,17.467
{64408 74994 39749},{7686},0.022,0.924,35.194
{64408 74994 7686},{39749},0.022,0.955,34.466
{64408 39749 7686},{74994},0.022,0.924,35.523
{12305},{51657 7190 88631},0.037,0.591,25.862
{7190},{12305 51657 88631},0.026,0.867,37.531
{88631},{12305 51657 7190},0.025,0.892,37.452
{51657},{12305 7190 88631},0.026,0.85,36.83
{12305 7190},{51657 88631},0.025,0.892,37.452
{12305 88631},{51657 7190},0.024,0.919,37.441
{12305 51657},{7190 88631},0.025,0.875,36.732
{7190 88631},{12305 51657},0.024,0.929,36.732
{51657 7190},{12305 88631},0.025,0.901,37.441
{51657 88631},{12305 7190},0.024,0.929,37.452
{12305 7190 88631},{51657},0.023,0.958,36.83
{12305 51657 7190},{88631},0.024,0.929,37.452
{12305 51657 88631},{7190},0.023,0.958,37.531
{51657 7190 88631},{12305},0.023,0.968,25.862
{12305},{51657 92490 7190},0.037,0.617,26.163
{7190},{12305 92490 51657},0.026,0.905,36.853
{51657},{12305 92490 7190},0.026,0.888,37.272
{92490},{12305 51657 7190},0.026,0.896,37.623
{12305 7190},{51657 92490},0.025,0.931,37.201
{12305 51657},{92490 7190},0.025,0.913,37.58
{12305 92490},{51657 7190},0.025,0.913,37.208
{51657 7190},{12305 92490},0.025,0.941,37.208
{92490 7190},{12305 51657},0.024,0.95,37.58
{51657 92490},{12305 7190},0.025,0.922,37.201
{12305 51657 7190},{92490},0.024,0.969,37.623
{12305 92490 7190},{51657},0.024,0.969,37.272
{12305 92490 51657},{7190},0.025,0.941,36.853
{51657 92490 7190},{12305},0.024,0.979,26.163
{12305},{51657 95398 7190},0.037,0.623,25.905
{7190},{12305 51657 95398},0.026,0.914,36.876
{95398},{12305 51657 7190},0.026,0.881,36.973
{51657},{12305 95398 7190},0.026,0.897,37.283
{12305 7190},{51657 95398},0.025,0.941,36.876
{12305 95398},{51657 7190},0.026,0.906,36.89
{12305 51657},{95398 7190},0.025,0.923,37.231
{95398 7190},{12305 51657},0.025,0.941,37.231
{51657 7190},{12305 95398},0.025,0.95,36.89
{51657 95398},{12305 7190},0.026,0.914,36.876
{12305 95398 7190},{51657},0.024,0.97,37.283
{12305 51657 7190},{95398},0.024,0.98,36.973
{12305 51657 95398},{7190},0.025,0.941,36.876
{51657 95398 7190},{12305},0.024,0.97,25.905
{12305},{51657 24746 7190},0.037,0.597,25.871
{7190},{12305 24746 51657},0.026,0.876,36.782
{51657},{12305 24746 7190},0.026,0.86,37.234
{24746},{12305 51657 7190},0.025,0.885,37.136
{12305 7190},{51657 24746},0.025,0.902,36.739
{12305 51657},{24746 7190},0.025,0.885,37.136
{12305 24746},{51657 7190},0.025,0.911,37.103
{51657 7190},{12305 24746},0.025,0.911,37.103
{24746 7190},{12305 51657},0.024,0.939,37.136
{51657 24746},{12305 7190},0.025,0.911,36.739
{12305 51657 7190},{24746},0.024,0.939,37.136
{12305 24746 7190},{51657},0.023,0.968,37.234
{12305 24746 51657},{7190},0.024,0.939,36.782
{51657 24746 7190},{12305},0.023,0.968,25.871
{12305},{92490 7190 88631},0.037,0.591,26.14
{7190},{12305 92490 88631},0.026,0.867,37.531
{88631},{12305 92490 7190},0.025,0.892,37.452
{92490},{12305 7190 88631},0.026,0.858,37.177
{12305 7190},{92490 88631},0.025,0.892,37.838
{12305 88631},{92490 7190},0.024,0.919,37.816
{12305 92490},{7190 88631},0.025,0.875,36.732
{7190 88631},{12305 92490},0.024,0.929,36.732
{92490 7190},{12305 88631},0.024,0.91,37.816
{92490 88631},{12305 7190},0.024,0.938,37.838
{12305 7190 88631},{92490},0.023,0.958,37.177
{12305 92490 7190},{88631},0.024,0.929,37.452
{12305 92490 88631},{7190},0.023,0.958,37.531
{92490 7190 88631},{12305},0.023,0.978,26.14
{12305},{88631 95398 7190},0.037,0.597,25.871
{7190},{12305 95398 88631},0.026,0.876,37.548
{88631},{12305 95398 7190},0.025,0.902,37.481
{95398},{12305 7190 88631},0.026,0.844,36.551
{12305 7190},{95398 88631},0.025,0.902,37.481
{12305 88631},{95398 7190},0.024,0.929,37.481
{12305 95398},{7190 88631},0.026,0.868,36.435
{7190 88631},{12305 95398},0.024,0.939,36.435
{95398 7190},{12305 88631},0.025,0.902,37.481
{95398 88631},{12305 7190},0.024,0.929,37.481
{12305 7190 88631},{95398},0.023,0.968,36.551
{12305 95398 7190},{88631},0.024,0.929,37.481
{12305 95398 88631},{7190},0.023,0.958,37.548
{95398 7190 88631},{12305},0.023,0.968,25.871
{12305},{24746 7190 88631},0.037,0.584,25.853
{7190},{12305 24746 88631},0.026,0.857,37.514
{88631},{12305 24746 7190},0.025,0.882,38.211
{24746},{12305 7190 88631},0.025,0.865,37.476
{12305 7190},{24746 88631},0.025,0.882,37.423
{12305 88631},{24746 7190},0.024,0.909,38.163
{12305 24746},{7190 88631},0.025,0.891,37.408
{7190 88631},{12305 24746},0.024,0.918,37.408
{24746 7190},{12305 88631},0.024,0.918,38.163
{24746 88631},{12305 7190},0.024,0.928,37.423
{12305 7190 88631},{24746},0.023,0.947,37.476
{12305 24746 7190},{88631},0.023,0.947,38.211
{12305 24746 88631},{7190},0.023,0.957,37.514
{24746 7190 88631},{12305},0.023,0.968,25.853
{12305},{92490 95398 7190},0.037,0.617,26.163
{7190},{12305 92490 95398},0.026,0.905,36.853
{95398},{12305 92490 7190},0.026,0.872,36.588
{92490},{12305 95398 7190},0.026,0.896,37.243
{12305 7190},{92490 95398},0.025,0.931,37.201
{12305 95398},{92490 7190},0.026,0.896,36.871
{12305 92490},{95398 7190},0.025,0.913,36.843
{95398 7190},{12305 92490},0.025,0.931,36.843
{92490 7190},{12305 95398},0.024,0.95,36.871
{92490 95398},{12305 7190},0.025,0.922,37.201
{12305 95398 7190},{92490},0.024,0.96,37.243
{12305 92490 7190},{95398},0.024,0.969,36.588
{12305 92490 95398},{7190},0.025,0.941,36.853
{92490 95398 7190},{12305},0.024,0.979,26.163
{12305},{24746 92490 7190},0.037,0.591,26.14
{7190},{12305 24746 92490},0.026,0.867,36.757
{24746},{12305 92490 7190},0.025,0.875,36.732
{92490},{12305 24746 7190},0.026,0.858,37.177
{12305 7190},{24746 92490},0.025,0.892,37.074
{12305 24746},{92490 7190},0.025,0.901,37.067
{12305 92490},{24746 7190},0.025,0.875,36.732
{24746 7190},{12305 92490},0.024,0.929,36.732
{92490 7190},{12305 24746},0.024,0.91,37.067
{24746 92490},{12305 7190},0.024,0.919,37.074
{12305 24746 7190},{92490},0.023,0.958,37.177
{12305 92490 7190},{24746},0.024,0.929,36.732
{12305 24746 92490},{7190},0.024,0.938,36.757
{24746 92490 7190},{12305},0.023,0.978,26.14
{12305},{24746 95398 7190},0.037,0.604,25.879
{95398},{12305 24746 7190},0.026,0.853,36.949
{7190},{12305 24746 95398},0.026,0.886,36.806
{24746},{12305 95398 7190},0.025,0.894,37.16
{12305 95398},{24746 7190},0.026,0.877,36.831
{12305 7190},{24746 95398},0.025,0.912,36.775
{12305 24746},{95398 7190},0.025,0.921,37.139
{95398 7190},{12305 24746},0.025,0.912,37.139
{24746 95398},{12305 7190},0.025,0.912,36.775
{24746 7190},{12305 95398},0.024,0.949,36.831
{12305 95398 7190},{24746},0.024,0.939,37.16
{12305 24746 95398},{7190},0.024,0.939,36.806
{12305 24746 7190},{95398},0.023,0.979,36.949
{24746 95398 7190},{12305},0.023,0.969,25.879
{7190},{51657 92490 88631},0.026,0.857,37.514
{88631},{51657 92490 7190},0.025,0.882,37.423
{51657},{92490 7190 88631},0.026,0.841,37.208
{92490},{51657 7190 88631},0.026,0.849,37.16
{7190 88631},{51657 92490},0.024,0.918,36.681
{51657 7190},{92490 88631},0.025,0.891,37.793
{92490 7190},{51657 88631},0.024,0.9,37.782
{51657 88631},{92490 7190},0.024,0.918,37.782
{92490 88631},{51657 7190},0.024,0.928,37.793
{51657 92490},{7190 88631},0.025,0.874,36.681
{51657 7190 88631},{92490},0.023,0.957,37.16
{92490 7190 88631},{51657},0.023,0.968,37.208
{51657 92490 7190},{88631},0.024,0.928,37.423
{51657 92490 88631},{7190},0.023,0.957,37.514
{7190},{51657 95398 88631},0.026,0.876,37.548
{88631},{51657 95398 7190},0.025,0.902,37.481
{95398},{51657 7190 88631},0.026,0.844,36.94
{51657},{88631 95398 7190},0.026,0.86,37.234
{7190 88631},{51657 95398},0.024,0.939,36.782
{95398 7190},{51657 88631},0.025,0.902,37.864
{51657 7190},{95398 88631},0.025,0.911,37.853
{95398 88631},{51657 7190},0.024,0.929,37.853
{51657 88631},{95398 7190},0.024,0.939,37.864
{51657 95398},{7190 88631},0.026,0.876,36.782
{95398 7190 88631},{51657},0.023,0.968,37.234
{51657 7190 88631},{95398},0.023,0.979,36.94
{51657 95398 7190},{88631},0.024,0.929,37.481
{51657 95398 88631},{7190},0.023,0.958,37.548
{7190},{51657 24746 88631},0.026,0.857,37.514
{88631},{51657 24746 7190},0.025,0.882,38.211
{51657},{24746 7190 88631},0.026,0.841,37.208
{24746},{51657 7190 88631},0.025,0.865,37.874
{7190 88631},{51657 24746},0.024,0.918,37.408
{51657 7190},{24746 88631},0.025,0.891,37.793
{24746 7190},{51657 88631},0.024,0.918,38.553
{51657 88631},{24746 7190},0.024,0.918,38.553
{24746 88631},{51657 7190},0.024,0.928,37.793
{51657 24746},{7190 88631},0.025,0.891,37.408
{51657 7190 88631},{24746},0.023,0.957,37.874
{24746 7190 88631},{51657},0.023,0.968,37.208
{51657 24746 7190},{88631},0.023,0.947,38.211
{51657 24746 88631},{7190},0.023,0.957,37.514
{7190},{51657 92490 95398},0.026,0.905,36.853
{95398},{51657 92490 7190},0.026,0.872,36.965
{51657},{92490 95398 7190},0.026,0.888,37.656
{92490},{51657 95398 7190},0.026,0.896,37.243
{95398 7190},{51657 92490},0.025,0.931,37.201
{51657 7190},{92490 95398},0.025,0.941,37.569
{92490 7190},{51657 95398},0.024,0.95,37.222
{51657 95398},{92490 7190},0.026,0.905,37.222
{92490 95398},{51657 7190},0.025,0.922,37.569
{51657 92490},{95398 7190},0.025,0.922,37.201
{51657 95398 7190},{92490},0.024,0.96,37.243
{92490 95398 7190},{51657},0.024,0.979,37.656
{51657 92490 7190},{95398},0.024,0.979,36.965
{51657 92490 95398},{7190},0.025,0.941,36.853
{7190},{51657 24746 92490},0.026,0.867,36.757
{24746},{51657 92490 7190},0.025,0.875,37.111
{51657},{24746 92490 7190},0.026,0.85,37.622
{92490},{51657 24746 7190},0.026,0.858,37.177
{24746 7190},{51657 92490},0.024,0.929,37.089
{51657 7190},{24746 92490},0.025,0.901,37.441
{92490 7190},{51657 24746},0.024,0.91,37.067
{51657 24746},{92490 7190},0.025,0.901,37.067
