,id,q
106,1933,"Ah , how icky the hypocrisy smells . Louisiana Republican Senator David Vitter , one"
107,7291,"1. ""Well , Satan was invented to explain why there is evil in the world"
108,3092,"""I don't think it would be a good idea for a child to have a"
109,2674,"""The Heller Decision is the most important decision in the history of the United States and"
110,255,"3. ""Shooter , so a cop is reporting to the scene and there you"
111,2563,"""There is a spiritual component to all of this,"" he said. ""It seems"
112,1416,"""If a state allows gay marriage their spirituality is in the toilet ,"" he says."
113,20,"""I don't agree with gay marriage,"" he said. ""Actually , I strongly"
114,8491,"""The democrats have failed the American people , and they will fail again in November"
115,1668,"""Yeah , stupid Rosa Parks . What was she thinking ? She did n't realize"
116,256,"""If you are in a situation where you need to defend yourself,"" he said."
117,8006,"2. ""2 ) Jyoshu 's explanation spelled out a theoretical approach"
118,4928,"1. ""No Electrolyte , science lies ! here is the undisputed truth"
119,8883,"""I am a 16-year-old girl living in Los Angeles , and I"
120,4064,"""This is a very complex process,"" he said. ""Among other things , the"
121,4159,"1. ""Now look here , boy , I 'm tired of you spreading this"
122,789,"""This is an important issue,"" he said. ""Unfortunately , as with so much"
123,4032,"""No,"" he said. ""Not really . That 's the fallacy of exclusion"
124,2838,"1. ""There 's just enough truth in that statement to keep me from saying"
125,23,"""First , there are various fossilization mechanisms . I could n't find any good"
126,51,"""I don't know what to say about this. ""The IRA comes to mind"
127,3575,"""It's a shame,"" he said. ""Of course , they threw in that"
128,5897,"""Yes , they were confiscated , but they were not `` legally `` owned , as"
129,5458,"""Monkeys do n't generally have problems with their private parts being functional ,"" he"
130,3794,6 `` http : //www.hsph.harvard.edu/research ...
131,113,"4. ""Getting back to the original question ... yes , i think it is very"
132,2868,"Â ” ( italics in original , Duane Gish , Evolution ? The"
133,8005,"""SUMMARY OF HUMAN SOCIETY: ""Humans are"
134,1389,"1. ""I think you are misinterpreting what I am saying . For"
135,117,"""Yes,"" she said. ""Of course , what the mind is capable of creating"
136,3792,AnotherOpinion .. a pro choice person ... has presented the only consistent argument on
137,5436,"""No , I would n't want a law like that , and I already said"
138,9129,Originally posted by voiceofreason Well if you 're going to quote that article that
139,1693,"""You're right,"" he said. ""Fortunately , your beliefs are not facts ."""
140,4424,"Quote : Guns were used in 4,120 robberies last year - a 10 % jump"
141,7312,pandion : I thought I had worded my post quite clearly . I even
142,5945,It 's official : Kansas is now the latest state to ban govt . recognition
143,6029,"Originally posted by lurch I like the name . Beagle 2 . However , there"
144,7680,". "". How is it inconsistent ? .I do not change my stance ever , i"
145,2790,"1. ""... to curtail abortions . Any woman who has an abortion for convenience only ("
146,3872,"""No. ""No . Anyone who sticks to beliefs that a god created the earth"
147,278,"1. ""Too late . It 's already been done . One thing I learned"
148,2559,"""I don't know what you're talking about,"" he wrote. ""Fair enough"
149,3770,"""It's not true,"" he said. ""Wrong as usual . Whenever a"
150,187,"1. ""1 . Did she do anything wrong ?"""
151,9477,"1. ""... If we do exist , there are only two possible explanations as to how"
152,279,"1. ""This 'person ' concept also amazes me . A foetus is"
153,7439,"1. ""Only as far as every murder is evidence of failure of homicide laws ."
154,3814,""" Douglas Futuyma is a PHD at the University of Michagan . Douglas"
155,5736,"1. ""Your analysis might be correct , although I do n't think I '"
156,666,That 's real diversity . Disagreeing but not being disagreeable . Since Am
157,3857,"1. ""I admire your zeal . I agree God is real . However , you"
158,4182,"""I hope BOA calls SEIU 's loan in full today and has pictures"
159,5768,"1. ""If I bear witness of myself , my witness is not true . -"
160,2671,"1. ""There is a very good book on this subject Starlight and Time if"
161,560,"""I am not going to force my own personal views on others . I will let"
162,5067,"""I am not going to force my own personal views on others . I will let"
163,964,"""Wrong again . If she supported bans on all guns then why would she say"
164,8438,""" Lott now admits he used a fake persona , 'Mary Rosh , '"
165,2642,"3. ""I do n't see the size of the universe as having any implications"
166,2860,"4. ""And since we are whipping out fmaily ties . My son '"
167,4756,"""I was simply attempting to point out the different viewpoints , not debate on the validity"
168,3576,"2. ""2 . REPEAL NEW RULES ALLOWING CONCE"
169,7261,"""I think it's ridiculous,"" he said. ""Sarah Brady is a straw purchaser"
170,1718,"1. ""I just want to thank the Forum participants for making my Saturday quite nice"
171,3757,"Quote : ""The death penalty assures that an incorragable criminal never has the opportunity"
172,9494,"""I don't think it matters,"" he said. ""At anyrate , the"
173,7658,"3. ""Many think third trimester is ok . The trimester thing does n"
174,7314,"""We have no doubt that Homer wrote these books,"" he said. ""In regards"
175,9476,"""I am not a medical doctor. ""`` I hardly think that the sole or"
176,3347,"""There has been a decrease in diversity ( probably due to global catastrophes )"
177,6674,"""There are no transitional fossils known,"" he said. ""There are in fact no"
178,5809,"""Look again,"" he says. ""Look again . This time , try and put"
179,2517,"1. ""1d . A union between two persons having the customary but usually not"
180,8063,`` The committee has done its best to review the evidence and to arrive at an independent
181,2954,"1. ""First Paragraph : `` christianity is living a lifstyle pattern"
182,3653,"5. ""sure so if it was 2.5 billion or trillion .. ( different"
183,6329,"1. ""... and Genesis 2 is what was passed down through Noah , in Oral history"
184,7264,"3. ""... how can matter bring about something that is not matter"""
185,5506,"""... or of people ( since people contradict each other , which would mean they were n"
186,324,"1. ""... Organs , a nervious system , a brain , all these are"
187,5066,"4. ""Phil Kline is anti-choice and filed suit against an abortion clinic"
188,3260,"""What about other 'rational ' alternatives to your version of evolution ; such as that"
189,4610,Nope . He was a great man who did n't believe in your cradle to
190,3662,* * Derived from the materialist Hobbesian view that 'life/nature
191,6333,"1. ""I would say no ....... I mean if you can believe in God"
192,3160,"""My wife and my mother-in-law have both died in childbirth,"" said"
193,559,"""First off this is not an accurate depiction of atheism . It just says that there"
194,6088,"""I have a question. ""'' Does n't that seem hypocritical for them to"
195,5841,"""One recommendation calls for the FBI to notify local and state law enforcement every time a"
196,9139,'' Sturm Gewehr ( pronounced-sturm ge-vare
197,4486,". ""'' Is n't evil the absence of good ? ``"""
198,5944,"10. ""'' Researchers from Knox College find that male college students who held a gun"
199,3875,"4. ""i think slave holder 's asked a similar question to people who believed"
200,6782,"""The Washington Post reported that. ""Supreme Court Justice Stevens also made a similar"
201,8510,"""The anti-gay side is going to have a hard time getting their message out"
202,7354,"""I 'm curious as to everyone 's opinion on this . My opinion is"
203,3665,"""I don't like it,"" he said. ""I 'm not against concealed"
204,2272,"2. ""The latter , of course . I 'm not anti-marriage ."
205,1162,"""The `` black market `` does n't deal in homemade weapons . They 're"
206,2202,"1. ""You 're telling me that evolution is n't biologically true ? So"
207,1361,"3. ""There 's an abortion pill ? News to me . I thought there"
208,5065,"""It's Andy Schlafly,"" he said. ""Come on , it '"
209,8881,"""It's a clump of cells,"" he said. ""It 's kind"
210,824,"It 's not likely the GOP senate will pass it , of course , but who"
211,1417,"`` It 's not nice we have to arm ourselves like the soldiers in Iraq ,"
212,4487,"Dr Gillian Leng , Nice deputy chief executive , said 'The committee concluded that"
213,257,"""I 've also been explained how random mutations get selected , which supposedly leads to"
214,305,"""I'm not a scientist,"" he said. ""I 've been telling this"
215,9818,"1. ""Â ‘ Our ways of learning about the world are strongly influenced by"
216,3088,`` ( 9 . ) Sarah Brady hates guns and wants to ban all firearms from private
217,6581,"1. ""Men ( and women for that matter ) are n't `` created ``"
218,9816,"""There is a rule. ""Life comes from Life ( basic science ) yet ,"
219,5896,"""[ i ] ( Before reading this , please know that I make no value judgements"
220,3573,"""That makes my point , thanks ! ( Of course you did n't have them"
221,3760,"1. ""1 ) ... 2 ) ... 3 ) ..."""
222,4925,"1. ""1 ) I would consider a transitional fossil one which contains parts from both"
223,1415,"2. ""1 ) What did the polar bear replace ? 2 ) What was the"
224,6183,"""[ snip ] of unsupported , rambling assertion ."""
225,6408,""" The Law of Angular Momentum states that if an object breaks apart in a friction"
226,6546,[ to supersport ] Please show me an example of a peppered moth that changes
227,1506,paulie ] at energy occurs in the human body does not address the question of
228,2401,"1. ""* * The `` methodology `` of science is not materialism/me"
229,5900,"4. ""# 4 Getting back to the abortion debate ,"""
230,5435,"`` Interestingly , those injured in the Virginia Tech shooting and those who lost loved ones have"
231,3991,"* * * & # 8226 ; Health costs . From the outset , the White"
232,5805,"""In a recent interview with CNN's Jake Tapper, Sen. Bernie Sanders ("
233,1362,"`` We 've got a major problem and it 's not with the legislature ,"
234,3978,". "". How many times have you heard , `` It 's in the genes ...."
235,5764,"L . BATTEN , Columbia U. & amp ; R.H. ,"
236,1391,"2. ""The title suggests that either pathway is possible . Yet no evidence has been"
237,4028,"4. ""It seems to me the corollary of the phrase `` abortion is"
238,3981,"1. ""It is easy to look at such a vote and quote the slogan ``"
239,7991,"""There have been so many school shootings over the last 40 years that researchers have been"
240,8129,"1. ""I was requested to start a new thread in which pro-gay and"
241,1904,""" Professor . All previous attempts to explain how the process works have failed . Since no"
242,6613,"2. ""Again ? ? ? . Gun control laws by design are meant to kept"
243,9311,"""I do note you do n't quote any sources for the assumption they are not"
244,27,"4. ""Where is the evidence for an American-style `` culture of fear ``"
245,49,"1. ""Well , the type of atheism you are talking about here requires faith ."
246,7686,"""This is a serious matter,"" he said. ""If Miller is genuinely disturbed about"
247,1016,"""Yes, that is correct,"" said the author. ""Except that that would be"
248,9231,A PRACTICAL MAN 'S PROOF OF GOD The existence of God is
249,820,"4. ""My challenge to Chuz , is to provide an argument which backs up"
250,2980,"1. ""I got a copy of this in my inbox ( a opy of"
251,1160,"""I did not come on here to talk about Dr. Lipton 's spiritual"
252,3163,6 ) And the standard `` theistic evolution `` dance . Atheistic evolutionists ca
253,2229,[ i ] `` Canada has `` hate `` speech/crimes laws and regulations and
254,7356,"1. ""`` Illegitimate children shall not be admitted to the assembly of the"
255,4116,"1. ""No they were trying to not just find a singel gene but overall"
256,826,"1. ""I think that you 're right to point out that both human DNA"
257,8359,"""And on the `` taking to task `` issue , did you ever see the ``"
258,3856,"1. ""Are you suggesting that if abortion were banned that abortion clinics that are already"
259,4757,"""They are trying to convince us that their behavior is `` normal `` . They are"
260,9459,"1. ""The thing I am trying to get at is that there would n't"
261,1898,"4. ""Most bats have eyes . Aside from that , the answer to your question"
262,3540,". ""Well , as the Christain Zealots say , `` Eve ate the apple"
263,9130,"`` If man truly evolved from lower life forms over millions , or hundreds of millions of"
264,4650,"4. ""Does the term `` evolution `` refer to ONLY the `` advances `` of"
265,4868,Scientists have turned to chickens to help them understand why some people are struck down by severe
266,7606,"""This is a preposterous abuse of objectivity in the name of `` science"
267,4073,"4. ""And so there it is . Evolutionists fight and claw their way into"
268,1173,"""I don't believe in fact checking,"" he said. ""... however I do believe"
269,6198,"1. ""Another thing that is quite clear ( or at least should be ) is"
270,6126,Good point Linus Also your whole idea of `` God `` is a beleif
271,9651,"""You are a hypocrite,"" he said. ""While the comment by `` God"
272,4192,Ok : 1 . Desert Eagle Pistol ( Israel Military Industries LTD ( IMI ) .
273,2684,"""I don't think so. ""And what is this `` higher view of life"
274,1508,"""It's not just about abortion,"" he said. ""In a few decades ,"
275,7081,`` ( 25 . ) I believe in gun control ( and wrote this piece to satir
276,3755,"""I don't support the mayor 's actions,"" he said. ""So gun"
277,7962,"1. ""The chances are , most of us here are familiar with answersingenesis"
278,2160,"1. ""Up to the courts I suppose . Personally I would feel discriminated against ,"
279,5355,"""I'm not sure what to make of it,"" he said. ""Did she"
280,3759,dzeron raises an interesting point ... the realm of `` possible `` is limited .
281,7781,"1. ""I wonder how far you can take this . For instance , you may"
282,7763,"""I don't know how to answer that question,"" he said. ""If you"
283,75,"""There is no beginning,"" he said. ""The Bible says , `` In the"
284,3166,"1. ""No need to change the verbage : `` ... individuals with variations that"
285,6531,"1. ""`` It is our contention that if 'random ' [ chance ] is"
286,7878,"""The genome of each creature acts independently of the environment. ""And remember , To"
287,4069,"4. ""It is no more `` convenient `` to have an abortion as to have"
288,4189,"1. ""As if we did n't already have enough `` missing links `` ,"
289,2830,"""Dogs have an `` emotional life `` but this has nothing to do with morality"
290,7977,SAN FRANCISCO - A federal judge challenged the backers of California 's voter
291,6964,Â “ I was not speaking about legalities . I was speaking on the giving
292,2640,"1. ""Genesis 1:27 says that God created Adam and Eve . ("
293,8395,"1. ""Did you actually read your own links ? I was holding those in reserve"
294,8914,"""This is New York City style catch and release justice at its absolute finest ."" said"
295,3847,"""I am not a pharmacist but I am a consumer,"" he said. """
296,7817,"1. ""... nip back over to `` The Swamp `` , [ that is ,"
297,3848,"1. ""Got that , boys and girls ... registration and prohibitions on transporting some firearms"
298,3849,"""Why should the ban on assault weapons not be based on true and Constitutionally weak"
299,6270,`` The researchers say that the vessels may be deceptive . Flexible fossils of colonial marine
300,3804,"1. ""LOL ; what a silly attempt to solicit sympathy and total load of"
301,3712,"1. ""That 's true , as long as ones pursuit of science is really"
302,3819,The Hidden Agenda Behind Gun Storage Laws By David Kopel In Canada and Great Britain deceit
303,7587,"4. ""Actually this is something that this choicer has been well aware of ."
304,7778,"""I found this interesting. ""I researched this on a source that did not have"
305,729,"2. ""Sorry but I think you are mistaken in that the bible `` describes ``"
306,2199,"""This is a disgrace,"" he said. ""Of course , teaching kids `` Stop"
307,2829,http : //www.augusta.net/back/coyne/
308,6361,"""Dear Jon S. Vernick ; Lisa M. Hepburn A friend sent me"
309,1725,"1. ""I would like to address the theory of evolution point-by-point"
310,4895,""" The authors claim their book is being rejected on political grounds , '' Koss said"
311,6529,"1. ""We 're legally dead when we no longer mentally exist ( hence the"
312,99,"4. ""Did your thought process ever include the question : What choice does the ``"
313,3891,"""This is the first study to show that codons can be integrated into the Genetic"
314,4161,`` The opportunity for a law-abiding gun owner to use a gun in a socially
315,8357,"1. ""I swear . Your dishonesty never seems to diminish , and never seems"
316,185,"`` The really important discovery is that the primary cilium detects signals , which tell"
317,463,"1. ""Professor McDonald started with a complete mousetrap and then showed ones"
318,9768,"4. ""Note also this false statement from a `` `` Survival of the fittest"
319,9463,Court : Seattle police OK to stun pregnant woman By GENE JOHNSON &
320,4489,"""I can n't stop thinking about this . A thousand gun control laws would not"
321,3852,"""Yes,"" he said. ""Then , the apologetics got into `` Genesis Kind"
322,7746,"`` We are like soldiers . It is a war , `` says Sgt Pfeil"
323,2397,"""I don't get it,"" he said. ""If same sex couples are offered"
324,8798,"1. ""I have guns for hunting , which is something I like to do ."
325,5737,"""What do you mean by that?"" I asked. ""What you mean is that"
326,3853,"Gennipher , 1 . In regard to your friends ' actions ... do you agree"
327,4067,"""This is a disgrace to women and their families. ""Does anyone know a pregnant"
328,43,"3. ""Oh , here we go again , the old `` back alley `` argument"
329,6563,"2. ""Have you done anything about them ? Gay marriage has only been an issue"
330,9458,"""We should be telling them `` handguns are useful against the army , they 'll"
331,7468,"1. ""I read an article yesterday ( about Evolution , Extinction , and Economics"
332,6688,"1. ""1 ) Life will NEVER arise out of non-life . 2 )"
333,7092,"1. ""In a way , taking rights away is an American value since we have"
334,6260,"1. ""1 ) The need to display current information . This article is almost four"
335,6022,"""JUSTICE SOUTER : Can we also look to current 13 conditions like current crime"
336,7094,"1. ""And , of course , you totally miss the point . The point is"
337,5614,"1. ""oh cc , apparently , 10 % of the population has the power to"
338,6678,"5. ""Articles up to 10 years old are usually fine for scientific analysis ."
339,65,"Washington , DC -- Christopher Bryan Speight , the 39-year-old man who"
340,2870,"""That is not the role of the Court,"" he said. ""That power is"
341,6833,"1. ""Erm ... we are ? Levels of CO2 in the atmosphere are"
342,7974,"""The percentage of the total confiscated that actually came from the US is not known,"""
343,7153,"""I don't think it will affect teenagers at all,"" he said. ""18"
344,5068,"""It's ridiculous,"" he said. ""The age of 18 is an arbitrary designation"
345,9227,obrotion became populer in the 1800 and thats oround the time evol
346,2245,"3. ""Rhodesian man was first discovered June 17 , 1921 at the bottom"
347,7096,"""Eugenicism was born in the United States in the late 19th century"
348,6002,". ""Aug. 1 , 1966 : Charles Whitman"""
349,8358,"""You have no room to gripe about it now ,"" he said. ""The"
350,2672,"9. ""Violent Crime rate 1989 = 666.6 Murder Rate 7.7"
351,7275,"9. ""1989 Violent crime = 666.5 murder rate= 8.7 1991"
352,7605,"""This is not new, however all the western powers operated this way in the 19"
353,6068,REPEAL THE 24-HOUR BRADY RECORD DESTRUCTION
354,5878,"2. ""GE 6:6 . EX 32:14 , NU 14:"
355,8324,"On this 35th anniversary of the Roe v. Wade decision , I would like to"
356,6642,"3. ""What are the possibilities that those doing the Maths realize that selection is"
357,6401,"3. ""I get a kick out that `` currently `` you mention . When I"
358,4994,"""I don't know what to make of this,"" he said. ""Where do"
359,3695,"7 Teens Shot Near Detroit High School By JEFF KAROUB , AP"
360,791,India : Dozens of police dead after Maoist ambush - CNN.com So let '
361,3566,"1. ""... and 8 beers are imo worse than one joint . People tend not"
362,9652,"9. ""Â ‘ The philosophy of experimental scienceÂ…began its discoveries"
363,7061,"1. ""The day when you have to walk into that abortion clinic and make that"
364,4484,"""So what do you think about the fact that this baby is much younger and smaller"
365,8330,"Â ” G. A. Tammann , Â “ On the Frequency"
366,3713,"1. ""a belief held by a majority does not mean it is superior to that"
367,5844,useÂ·ful adj . 1 . Having a beneficial use ; serviceable : a
368,6221,SACRAMENTO Â— A bill that would ban the public display of
369,5946,"1. ""Let me correct . That should be , `` duh `` . I"
370,2670,"""I am not a religious person,"" he said. ""I suggest to you that"
371,8758,"""How about : A woman wakes up to find herself connected to a body . A"
372,3647,"""There is no mention of premium costs in the Bill,"" he said. ""Nor"
373,3572,"""I'm curious,"" he said. ""Has there ever been a case of assault"
374,308,"""Ridiculously wrong,"" he wrote on Twitter. ""A catapill"
375,1404,"""A cecal valve is a muscle for the lizard 's intestines that"
376,3651,"""I n't justify their denial anymore . You do n't like it ? You"
377,3802,"1. ""Both Thompson and McDonagh treat the childÂ—the woman '"
378,3810,"""It's a miracle,"" he said. ""With all the medical technology a child"
379,9019,"1. ""I have a strong dislike of evangelical christianity , not christian"
380,3641,"""The conclusion is that the eye , a complex visual system , was fully formed and"
381,4046,"1. ""Matthew , I agree with you in this case . A constitutional amendment along"
382,3159,"""You're wrong,"" he said. ""You seem to be arguing that a corpse"
383,6448,"4. ""At age 18 ? That 's a possibility - a coworker of"
384,8606,"""Do you think that a criminal that faces life in prison should have the right to"
385,5810,"""It is a disgrace that they picket any funeral,"" he said. ""These"
386,8130,"1. ""I find it interesting that the stars create the clouds and inturn the"
387,4193,"1. ""Even one of evolutionistsÂ ’ favorite examples for Â �"
388,5765,"""It's a shame,"" she said. ""Do n't they get that the"
389,3613,"1. ""A facinating way of framing it I should say . I could simply"
390,5455,"10. ""Gavin Newsom- I expected more from him when I supported him"
391,760,"""This is a disgrace,"" he said. ""As it stands in the uk"
392,7915,"1. ""Yup , she is . Because a feetus is not legaly"
393,2894,"4. ""A fetus is a citizen , it 's intrustion on the"
394,3684,"""I am aware of that,"" he said. ""I am not a lawyer."
395,2585,"""I think it's a good argument for the death penalty,"" he said. """
396,6880,"""It's not easy,"" he said. ""A good starting point is to get"
397,5724,"""I'm curious,"" he said. ""Would n't this be a gradual change"
398,1363,"""They grow up with guns in the house that are used for hunting and self defense"
399,3672,"""It's a gun death,"" he said. ""A gun death is a gun"
400,7961,"""I think it's a good idea. ""Carrying a gun is their"
401,6185,Gun Laws of America is 384 pages of just the federal statutes that regulate gunsÂ—
402,2673,"""It's a dumb argument,"" he said. ""The doctor argument was brought up"
403,7653,""" HAAHAHAHA , actually those numbers of `` millions `` of aborit"
404,8162,""" the former because it 's always a handy and ego-inflating explanation"
405,8002,"""It's time,"" he said. ""Time to get a helmet ..."""
406,3212,SALT LAKE CITY & # 8212 ; A member of Salt Lake County '
407,235,"""This is a joke,"" she said. ""No one is arguing that a human"
408,6783,"""Saddleback, a conservative Christian megachurch in Southern California, has been"
409,9294,"""IÂ ’ m defining a human being by personhood because IÂ �"
410,2857,"1. ""Joe ; Should you travel to the few states now allowing ( Gawd"
411,9131,"1. ""A large fraction of the noncoding part of a eukary"
412,7757,"""It 's been a long standing standard that if the only motivation for a law"
413,5608,"""It's not just women crying,"" she said. ""Women have n't cor"
414,1360,http : //www.nytimes.com/2009/09/27/ma
415,4042,"""I think it's funny that you are attacking American scientists,"" he said. """
416,5840,"""We need to ban tire irons,"" he said. ""Once upon a time"
417,2859,"""You are a zealot,"" he said. ""Even though , evolution is probably"
418,2688,"1. ""Um , you just posted it , if it is NOT a mental disorder"
419,5706,"4. ""If it is moral for a mother to deny her child the necessities of"
420,6085,"""It is not socialism,"" he said. ""It is a nanny state where"
421,3403,"""There is no God,"" he said. ""Evolution is basically a naturalis"
422,6359,"1. ""It was the year 1909 and a navy officer ( who was a Human"
423,3977,"""No , I did n't make any official challange , I was just saying"
424,3693,". ""Brace yourself , howard ...... a new poll released today in the NY"
425,466,"""This is because the Republicans have used the filibuster as a weapon to stop legislation ."
426,5433,The Supreme Court struck down the Texas law that gave exceptions to the `` extreme `` cases
427,847,"""It's a good idea,"" he said. ""As for the wings , a"
428,3685,"""I am pro-life,"" she said. ""I happen to believe that a"
429,884,". "".. a piece of genetic material taken from your own body and inserted into a"
